Number of Data Points = 64
        
File	hc(nm)	Pmax(N)	S(N/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
mapping-8x8x8-000_20190114_2353_00041 DC.hys	132.044777	216.486515	1.759864	600456.652109	201.546838	224.304677	2.012209	0.360536	0.011192	0.001362	1.823408	-73.106699	-58.392800	0.208481
mapping-8x8x8-000_20190114_2355_00042 DC.hys	158.363708	183.053539	2.420344	827475.944073	201.802094	215.087104	2.357406	0.221219	0.000134	13.665116	2.663213	-73.104699	-58.392800	0.173651
mapping-8x8x8-000_20190114_2357_00043 DC.hys	171.978945	141.608934	2.955107	958823.208778	201.558898	207.919002	2.673860	0.147690	0.000000	11.644944	4.095863	-73.102699	-58.392800	0.240003
mapping-8x8x8-000_20190114_2358_00044 DC.hys	135.905071	189.948416	1.707243	631530.397591	201.233742	219.350330	1.903413	0.300775	0.004604	0.003353	1.971475	-73.100699	-58.392800	0.142976
mapping-8x8x8-000_20190115_0000_00045 DC.hys	107.351425	220.624409	1.390352	419861.682335	201.725536	226.363210	1.901107	0.525469	0.096493	0.000691	1.426513	-73.098699	-58.392800	0.139799
mapping-8x8x8-000_20190115_0002_00046 DC.hys	172.086373	352.072400	9.030416	959897.166723	202.640886	201.326918	8.166393	0.366781	0.002239	100.259944	2.592299	-73.096699	-58.392800	0.169285
mapping-8x8x8-000_20190115_0004_00047 DC.hys	180.839632	24.399242	0.930134	1049378.067971	201.409097	200.513612	0.804478	0.023251	0.001972	140.213594	2.298722	-73.094699	-58.392800	0.042876
mapping-8x8x8-000_20190115_0005_00048 DC.hys	135.048751	201.685738	1.733062	624571.252594	201.613042	222.330283	1.942933	0.322919	0.006620	0.000000	1.910458	-73.108699	-58.390900	0.102072
mapping-8x8x8-000_20190115_0007_00049 DC.hys	128.910880	218.520414	1.713082	575793.898420	201.208035	224.580754	2.000227	0.379512	0.015845	0.008989	1.760521	-73.106699	-58.390801	0.167362
mapping-8x8x8-000_20190115_0009_00050 DC.hys	163.124529	149.884214	2.324926	872328.398440	201.537060	211.475825	2.205484	0.171821	0.000111	35.507903	2.729522	-73.104699	-58.390801	0.152745
mapping-8x8x8-000_20190115_0011_00051 DC.hys	129.583944	213.750216	1.695409	581048.061492	201.688040	224.140850	1.970622	0.367870	0.014161	0.000001	1.777825	-73.102699	-58.390801	0.089258
mapping-8x8x8-000_20190115_0012_00052 DC.hys	148.840916	183.607273	2.046563	741236.728406	201.327028	216.127116	2.106112	0.247704	0.000436	0.000034	2.409042	-73.100699	-58.390801	0.167097
mapping-8x8x8-000_20190115_0014_00053 DC.hys	162.778424	159.707059	2.442995	869028.672874	201.708106	211.808516	2.321884	0.183777	0.000101	32.108030	2.748829	-73.098699	-58.390801	0.128579
mapping-8x8x8-000_20190115_0016_00054 DC.hys	178.666817	31.527820	1.071391	1026802.423628	201.651772	200.737057	0.936784	0.030705	0.001491	131.560771	2.350777	-73.096699	-58.390801	0.046258
mapping-8x8x8-000_20190115_0018_00055 DC.hys	174.790905	49.059978	1.430569	987128.038082	201.542052	200.511437	1.275724	0.049700	0.000088	101.708233	2.881060	-73.094699	-58.390801	-0.189905
mapping-8x8x8-000_20190115_0019_00056 DC.hys	130.968148	223.319441	1.787304	591926.931003	201.686727	224.678900	2.058255	0.377275	0.013202	0.011664	1.798091	-73.108699	-58.388600	0.151262
mapping-8x8x8-000_20190115_0021_00057 DC.hys	125.500786	226.725828	1.670022	549532.136349	201.640514	227.322422	1.996000	0.412580	0.025684	0.008059	1.674357	-73.106699	-58.388802	0.104031
mapping-8x8x8-000_20190115_0023_00058 DC.hys	130.777648	220.046784	1.755513	590423.882819	201.413743	224.787236	2.024217	0.372693	0.013335	0.000004	1.793332	-73.104699	-58.388802	0.054390
mapping-8x8x8-000_20190115_0025_00059 DC.hys	149.211052	196.936535	2.194257	744502.030356	201.772041	216.524223	2.253146	0.264521	0.000458	0.029027	2.412179	-73.102699	-58.388802	0.076584
mapping-8x8x8-000_20190115_0026_00060 DC.hys	146.598199	209.124252	2.124196	721601.792026	201.951765	220.434706	2.215545	0.289806	0.002756	13.056984	2.106455	-73.100699	-58.388802	0.045878
mapping-8x8x8-000_20190115_0028_00061 DC.hys	172.774490	49.419791	1.289283	966790.204298	201.862752	201.522906	1.161761	0.051117	0.000214	99.246546	2.668226	-73.098799	-58.388703	-0.262380
mapping-8x8x8-000_20190115_0030_00062 DC.hys	173.056963	56.054405	1.495980	969626.794459	201.687348	201.159481	1.346041	0.057810	0.000331	102.842005	2.623897	-73.096699	-58.388901	0.047684
Dummymapping-8x8x8-000_20190115_0032_00063 DC.hys	159.586658	32.127085	0.472925	838887.061677	201.069200	210.536231	0.457483	0.038297	0.000024	26.674716	2.706522	-73.094699	-58.388901	0.078969
